Syst. No," ""Call #	"""," ""Title"""," ""Barcode"""," ""Location"""," ""Item Status"""," ""Status Field"""
993189,61 B41 A032,Seven overtures in score: Prometheus; Coriolan; Leonore no. 1.Leonore no. 2; Leonore no. 3; Fidelio; Egmont. [Edited by HugoLeichtentritt],39016005769378,Music: Miniature Score,Regular Loan,None
1042609,61 B41 A033,Six great overtures in full score / Ludwig van Beethoven.,39016005769436,Music: Score Reference(LC Call number),Regular Loan,None
2348286,61 B41 A036,Berühmte ouverturen von... Beethoven... / [Ludwig van Beethoven] ; in partitur hrsg. von Alfred Dörffel.,39016005773685,Music: Score Reference(LC Call number),Regular Loan,None
2750691,61 B41 A04,"Ouverture ""Zur Namensfeier"" : opus 115 / Beethoven ; herausgegeben von Hans-Werner Küthen.",39016005465613,Music: Score Reference(LC Call number),Regular Loan,None
4445812,61 B41 C6,Twelve contredanses for orchestra. Edited by John E. Castellini. Special arrangement by Edwin John Stringham.,39016002957257,Music: Score Reference(LC Call number),Regular Loan,None
4445812,61 B41 C6,Twelve contredanses for orchestra. Edited by John E. Castellini. Special arrangement by Edwin John Stringham.,39016001726984,Music: Score Reference(LC Call number),Regular Loan,None
2347610,61 B41 S024,The nine symphonies of Beethoven in score / edited and devised by Albert E. Wier.,39016005773776,Music: Miniature Score,Regular Loan,None
2347610,61 B41 S024,The nine symphonies of Beethoven in score / edited and devised by Albert E. Wier.,39016005773701,Music: Miniature Score,Regular Loan,None
2347610,61 B41 S024,The nine symphonies of Beethoven in score / edited and devised by Albert E. Wier.,39016005773693,Music: Miniature Score,Regular Loan,None
993183,61 B41 S1,First; second; and third symphonies : in full orchestral score/ Ludwig van Beethoven.,39016005466231,Music: Score Reference(LC Call number),Regular Loan,None
4365009,61 B41 S12,Symphonies nos. 1; 2; 3; and 4 / Ludwig van Beethoven.,39016010031632,Music: Score Reference(LC Call number),Regular Loan,None
3842888,61 B41 S14,Symphonie Nr. 1; opus 21; C-dur = C major = ut majeur / Beethoven ; nach den quellen herausgegeben von Armin Raab.,39016003416824,Music: Score Reference(LC Call number),At Bindery,None
993184,61 B41 S4,Fourth and Fifth symphonies / Ludwig van Beethoven.,39016002953827,Music: Score Reference(LC Call number),Regular Loan,None
993185,61 B41 S6,Sixth and Seventh symphonies / Ludwig van Beethoven.,39016002968544,Music: Score Reference(LC Call number),Regular Loan,None
962425,61 B41 S8,Eighth and Ninth symphonies / Ludwig van Beethoven.,39016002943422,Music: Score Reference(LC Call number),Regular Loan,None
962425,61 B41 S8,Eighth and Ninth symphonies / Ludwig van Beethoven.,39016003433886,Music: Score Reference(LC Call number),Regular Loan,None
2347590,61 B41 S92," Symphonie no. 9, op. 125, D moll",39016005773727,Music: Score Reference(LC Call number),Regular Loan,None
993233,61 B41 T1,Elf Wiener Tänze = Mödlinger Tänze : für 3 Streich- und7 Blasinstrumente / Beethoven ; [hrsg. von] Hugo Reimann.,39016001726927,Music: Score Reference(LC Call number),Regular Loan,None
4040895,61 B468 R5,Ringed by the flat horizon : for full orchestra; 1979-1980 / George Benjamin.,39016002977156,Music: Score Reference(LC Call number),Regular Loan,None
993190,61 B47 S94,Suite for small orchestra.,39016001726851,Music: Score Reference(LC Call number),Regular Loan,None
3845084,61 B51 O903,Roman carnival and other overtures / Hector Berlioz.,BAR3312104,Music: Score Reference(LC Call number),Non Circulating,None
3845084,61 B51 O903,Roman carnival and other overtures / Hector Berlioz.,BAR3312199,Music: Score Reference(LC Call number),Non Circulating,None
3796027,61 B53 C2,"Overture to ""Candide"" : for orchestra / Leonard Bernstein.",39016002960913,Music: Score Reference(LC Call number),Regular Loan,None
3796027,61 B53 C2,"Overture to ""Candide"" : for orchestra / Leonard Bernstein.",39016013321790,Music: Score Reference(LC Call number),Regular Loan,None
3796029,61 B53 F1,Facsimile : choreographic essay for orchestra / Leonard Bernstein.,39016002959543,Music: Score Reference(LC Call number),Regular Loan,None
4487904,61 B53 J,Jeremiah,39016002957661,Music: Stacks,Regular Loan,None
3514186,61 B53 J4,Jeremiah : symphony no. 1 for orchestra and mezzo-soprano / by Leonard Bernstein.,39016003414720,Music: Score Reference(LC Call number),Regular Loan,None
3796028,61 B53 O5,On the town. Three dance episodes / Leonard Bernstein.,39016002959832,Music: Score Reference(LC Call number),Regular Loan,None
3795959,61 B53 W,"Symphonic dances from ""West Side story"" / Leonard Bernstein.",39016003412872,Music: Score Reference(LC Call number),Regular Loan,None
993234,61 B55 S93,Sinfonie capricieuse / Franz Berwald.,39016001727313,Music: Score Reference(LC Call number),Regular Loan,None
993235,61 B61 T,Tragœdia.,39016001726810,Music: Miniature Score,Regular Loan,None
993236,61 B61 W,The world is discovered; six instrumental movements afterHeinrich Isaak.,39016001726778,Music: Score Reference(LC Call number),Regular Loan,None
993530,61 B65 A5,America : an epic rhapsody in three parts for orchestra / byErnest Bloch.,39016002978816,Music: Score Reference(LC Call number),Regular Loan,None
993530,61 B65 A5,America : an epic rhapsody in three parts for orchestra / byErnest Bloch.,39016001726737,Music: Score Reference(LC Call number),Regular Loan,None
1035122,61 B65 I3,In memoriam.,39016000575234,Music: Miniature Score,Regular Loan,None
2347611,61 B65 P7,Trois poèmes juifs pour grand orchestre.,39016005773735,Music: Score Reference(LC Call number),Regular Loan,None
993237,61 B65 S6,Sinfonia breve.,39016001726901,Music: Miniature Score,Regular Loan,None
993238,61 B65 V,Voice in the wilderness (Voix dans le désert); symphonic poemfor orchestra with violoncello obbligato / Ernest Bloch.,39016001727180,Music: Score Reference(LC Call number),Regular Loan,None
993191,61 B66 S503,Symphony in D [op. 16; no. 2],39016001727149,Music: Score Reference(LC Call number),Regular Loan,None
993192,61 B66 S511,Sinfonia; op. 1; n. 3; per archi; 2 oboi; 2 corni e fagotto. Edizione a cura di Ettore Bonelli.,39016001727107,Music: Score Reference(LC Call number),Regular Loan,None
2347613,61 B66 S512,Symphony in F major.,39016005773743,Music: Score Reference(LC Call number),Regular Loan,None
993193,61 B66 S518,Sinfonia in 1a; op. 37; n. 4; per orchestra da camera. Rev. diRiccardo Allorto.,39016001726992,Music: Score Reference(LC Call number),Regular Loan,None
4445901,61 B66 S519,Sinfonia in do minore. [Revisione di] Pina Carmirelli.,39016002953488,Music: Score Reference(LC Call number),Regular Loan,None
993194,61 B66 S5196,Sinfonia in Do minore; op. 41; per orchestra da camera. Revisione di Pina Carmirelli.,39016001727032,Music: Score Reference(LC Call number),Regular Loan,None
1096919,61 B76 E,Éclat.,39016002941244,Music: Oversized Scores (Dickinson),Regular Loan,None
1096920,61 B76 P72,Pli selon pli: V. Tombeau.,39016002941285,Music: Oversized Scores (Dickinson),Regular Loan,None
993239,61 B78 S1,Symphony I. [Hrsg. von] Max Gobermann.,39016001727073,Music: Score Reference(LC Call number),Regular Loan,None
993240,61 B78 S2,Symphony II. [Hrsg. von] Max Gobermann.,39016001727115,Music: Score Reference(LC Call number),Regular Loan,None
993241,61 B78 S3,Symphony III. [Hrsg. von] Max Gobermann.,39016001727156,Music: Score Reference(LC Call number),Regular Loan,None
993242,61 B78 S4,Symphony IV. [Hrsg. von] Max Goberman [sic],39016001727198,Music: Score Reference(LC Call number),Regular Loan,None
993243,61 B78 S5,Symphony V. [Hrsg. von] Max Gobermann.,39016001726745,Music: Score Reference(LC Call number),Regular Loan,None
993244,61 B78 S6,Symphony VI. [Hrsg. von] Max Goberman [sic],39016001726786,Music: Score Reference(LC Call number),Regular Loan,None
993245,61 B78 S7,Symphony VII. [Hrsg. von] Max Goberman [sic],39016001726828,Music: Score Reference(LC Call number),Regular Loan,None
993246,61 B78 S8,Symphony VIII. [Hrsg. von] Max Goberman [sic].,39016001726869,Music: Score Reference(LC Call number),Regular Loan,None
1041223,61 B81 A03,Three orchestral works in full score / Johannes Brahms ; fromthe Breitkopf & Härtel Complete works edition edited by Hans Gál.,39016004328762,Music: Score Reference(LC Call number),Regular Loan,None
1047476,61 B81 S902,The symphonies of Brahms and Tschaikowsky in score / edited and devised by Albert E. Wier.,39016000570284,Music: Miniature Score,Regular Loan,None
1047476,61 B81 S902,The symphonies of Brahms and Tschaikowsky in score / edited and devised by Albert E. Wier.,39016000569856,Music: Miniature Score,Regular Loan,None
6310276,M1001 .B773 1974,Complete symphonies in full score : the Vienna Gesellschaft der Musikfreunde Edition / Johannes Brahms ; edited by Hans Gál.,39016011442705,Music: Score (LC call number),Regular Loan,None
6310276,M1001 .B773 1974,Complete symphonies in full score : the Vienna Gesellschaft der Musikfreunde Edition / Johannes Brahms ; edited by Hans Gál.,39016000548132,Music: Score (LC call number),Regular Loan,None
4212903,61 B81 S91,Symphonie Nr. 1; c-Moll; Opus 68 / Johannes Brahms ; herausgegeben von Robert Pascall.,39016005440483,Music: Score Reference(LC Call number),Regular Loan,None
1096905,61 B86 A,An American overture : (1941) : for orchestra / Benjamin Britten.,39016000552167,Music: Oversized Scores (Dickinson),Regular Loan,None
1096906,61 B86 O,Occasional overture : for orchestra; 1946 / Benjamin Britten.,39016000552159,Music: Oversized Scores (Dickinson),Regular Loan,None
1052826,61 B86 S8,Suite on English folk tunes : A time there was-- : for orchestra; op. 90 / Benjamin Britten.,39016000551839,Music: Score Reference(LC Call number),Regular Loan,None
4666231,61 B88 M,Marsch in D-moll ; Drei Sätze für Orchester / Anton Bruckner ; edited by Hans Jancik.,39016010526888,Music: Score Reference(LC Call number),Regular Loan,None
5085200,61 B88 S14,Symphonies nos. 4 and 7 / Anton Bruckner ; edited by Robert Haas for the International Bruckner Society.,39016010802578,Music: Score Reference(LC Call number),Regular Loan,None
2348277,61 B88 S209,Symphonie D moll; aus dem Nachlass. Für den Konzertgebrauch eingerichtet und hrsg. von J. V. Wöss.,39016005773750,Music: Score Reference(LC Call number),Regular Loan,None
4445816,61 B89 S933,Symphony no. 23 in F major / Gaetano Brunetti ; [edited by Newell Jenkins],39016004328507,Music: Score Reference(LC Call number),Regular Loan,None
2347615,61 B95 S93,Symphonie in einem Satz für Orchester. [Partitur],39016005773768,Music: Score Reference(LC Call number),Regular Loan,None
